order_line_id,order_id,customer_id,order_date,region,channel,product_category,product_name,quantity,unit_price,cost_per_unit,discount_pct,promo_flag,payment_status,fulfillment_status,total_return_qty,total_refund,gross_revenue,discount_amount,net_revenue,realized_revenue,realized_cogs,realized_profit,realized_margin_pct,discount_group,month
OL000001,O100000,C1120,2026-03-26 00:00:00,South,Marketplace,Home,Storage Box,4,1485.64,1043.12,23,Y,Paid,Delivered,0,0,5942.56,1366.7888,4575.7712,4575.7712,4172.48,403.2912,8.813622499,Medium Discount,2026-03-01 00:00:00
OL000002,O100000,C1120,2026-03-26 00:00:00,South,Marketplace,Electronics,Earbuds,2,7660.36,6020.81,34.1,Y,Paid,Delivered,0,0,15320.72,5224.36552,10096.35448,10096.35448,12041.62,-1945.26552,-19.26700894,High Discount,2026-03-01 00:00:00
OL000003,O100001,C1078,2026-05-08 00:00:00,West,Online,Fashion,Jacket,2,4404.18,2300.41,2.8,N,Pending,Cancelled,0,0,8808.36,246.63408,8561.72592,8561.72592,4600.82,3960.90592,46.2629376,Low Discount,2026-05-01 00:00:00
OL000004,O100002,C1050,2026-04-04 00:00:00,West,Marketplace,Electronics,Smartwatch,1,12702.42,9875.8,28.7,Y,Paid,Cancelled,0,0,12702.42,3645.59454,9056.82546,9056.82546,9875.8,-818.97454,-9.042622535,High Discount,2026-04-01 00:00:00
OL000005,O100003,C1450,2026-01-22 00:00:00,East,Online,Personal Care,Face Wash,4,5822.98,3459.89,30.8,Y,Paid,Delivered,0,0,23291.92,7173.91136,16118.00864,16118.00864,13839.56,2278.44864,14.13604305,High Discount,2026-01-01 00:00:00
OL000006,O100004,C1444,2026-02-09 00:00:00,East,Marketplace,Electronics,Smartwatch,4,10819.88,8414.05,14.4,N,Failed,Cancelled,0,0,43279.52,6232.25088,37047.26912,37047.26912,33656.2,3391.06912,9.15335786,Medium Discount,2026-02-01 00:00:00
OL000007,O100005,C1207,2026-05-16 00:00:00,North,Store,Fashion,Shoes,1,1876.44,890.68,14,N,Paid,Delivered,0,0,1876.44,262.7016,1613.7384,1613.7384,890.68,723.0584,44.80641968,Medium Discount,2026-05-01 00:00:00
OL000008,O100006,C1251,2026-06-03 00:00:00,North,Online,Electronics,Power Bank,1,2092.31,1521.19,15.7,N,Paid,Delivered,0,0,2092.31,328.49267,1763.81733,1763.81733,1521.19,242.62733,13.75580826,Medium Discount,2026-06-01 00:00:00
OL000009,O100007,C1111,2026-04-28 00:00:00,West,Online,Fashion,Jacket,1,8955.37,4658.08,24.4,Y,Paid,Delivered,0,0,8955.37,2185.11028,6770.25972,6770.25972,4658.08,2112.17972,31.19791274,Medium Discount,2026-04-01 00:00:00
OL000010,O100008,C1272,2026-03-16 00:00:00,South,Online,Home,Lamp,4,10832.33,6554.37,11,N,Paid,Delivered,3,30093.24,43329.32,4766.2252,38563.0948,8469.8548,6554.37,1915.4848,22.61532039,Medium Discount,2026-03-01 00:00:00
OL000011,O100009,C1200,2026-05-07 00:00:00,West,Online,Personal Care,Shampoo,4,10405.81,6495.56,24.3,Y,Failed,Delivered,0,0,41623.24,10114.44732,31508.79268,31508.79268,25982.24,5526.55268,17.53971577,Medium Discount,2026-05-01 00:00:00
OL000012,O100009,C1200,2026-05-07 00:00:00,West,Online,Electronics,Power Bank,3,3881.68,2783.27,22.5,Y,Paid,Delivered,0,0,11645.04,2620.134,9024.906,9024.906,8349.81,675.096,7.480366,Medium Discount,2026-05-01 00:00:00
OL000013,O100010,C1105,2026-05-06 00:00:00,East,Store,Electronics,Power Bank,5,11942.11,9142.79,5.9,N,Paid,Delivered,0,0,59710.55,3522.92245,56187.62755,56187.62755,45713.95,10473.67755,18.64054064,Low Discount,2026-05-01 00:00:00
OL000014,O100011,C1319,2026-06-04 00:00:00,West,Online,Fashion,T-Shirt,5,2648.3,1601.38,29.3,Y,Paid,Delivered,0,0,13241.5,3879.7595,9361.7405,9361.7405,8006.9,1354.8405,14.47210057,High Discount,2026-06-01 00:00:00
OL000015,O100012,C1101,2026-02-05 00:00:00,North,Online,Fashion,Shoes,1,3060.37,1757.96,19.5,N,Paid,Delivered,0,0,3060.37,596.77215,2463.59785,2463.59785,1757.96,705.63785,28.64257452,Medium Discount,2026-02-01 00:00:00
