region,month,revenue_target,profit_margin_target_pct
North,2026-01-01 00:00:00,2824780,26.3
North,2026-02-01 00:00:00,3118305,27.6
North,2026-03-01 00:00:00,2679277,22.4
North,2026-04-01 00:00:00,3001870,25.7
North,2026-05-01 00:00:00,3185326,25.2
North,2026-06-01 00:00:00,3268257,23.6
South,2026-01-01 00:00:00,3905567,23.7
South,2026-02-01 00:00:00,3882959,19.2
South,2026-03-01 00:00:00,2050218,20.6
South,2026-04-01 00:00:00,4492124,22.6
South,2026-05-01 00:00:00,4248089,22.6
South,2026-06-01 00:00:00,2873231,20.2
East,2026-01-01 00:00:00,3951498,23.4
East,2026-02-01 00:00:00,3173001,24
East,2026-03-01 00:00:00,4337017,18.7
East,2026-04-01 00:00:00,4214949,19
East,2026-05-01 00:00:00,4292401,20.5
East,2026-06-01 00:00:00,4266255,24.3
West,2026-01-01 00:00:00,2587178,20.3
West,2026-02-01 00:00:00,3442881,20.9
West,2026-03-01 00:00:00,3074985,19.6
West,2026-04-01 00:00:00,4067292,20
West,2026-05-01 00:00:00,4132222,23.3
West,2026-06-01 00:00:00,4058400,27.2
